number,DOI
7176,10.1037/t41498-000
7177,10.1037/t00007-000
7178,10.1037/t72596-000
7179,10.1037/t82720-000
7180,10.1037/t40782-000
7181,10.1037/t10954-000
7182,10.1037/t52098-000
7183,10.1037/t08585-000
7184,10.1037/t27325-000
7185,10.1037/t38936-000
7186,10.1037/t86227-000
7187,10.1037/t12187-000
7188,10.1037/t64957-000
7189,10.1037/t11276-000
7190,10.1037/t11369-000
7191,10.1037/t20570-000
7192,10.1037/t85827-000
7193,10.1037/t33038-000
7194,10.1037/t17824-000
7195,10.1037/t15238-000
7196,10.1037/t24601-000
7197,10.1037/t67420-000
7198,10.1037/t11125-000
7199,10.1037/t84158-000
7200,10.1037/t01786-000
7201,10.1037/t67203-000
7202,10.1037/t09438-000
7203,10.1037/t68312-000
7204,10.1037/t51769-000
7205,10.1037/t22890-000
7206,10.1037/t83656-000
7207,10.1037/t27248-000
7208,10.1037/t46327-000
7209,10.1037/t38319-000
7210,10.1037/t31180-000
7211,10.1037/t85081-000
7212,10.1037/t84612-000
7213,10.1037/t42433-000
7214,10.1037/t83031-000
7215,10.1037/t69909-000
7216,10.1037/t82807-000
7217,10.1037/t09125-000
7218,10.1037/t28143-000
7219,10.1037/t75334-000
7220,10.1037/t10239-000
7221,10.1037/t39141-000
7222,10.1037/t22035-000
7223,10.1037/t05702-000
7224,10.1037/t11928-000
7225,10.1037/t75352-000
7226,10.1037/t75233-000
7227,10.1037/t59566-000
7228,10.1037/t36778-000
7229,10.1037/t52134-000
7230,10.1037/t00636-000
7231,10.1037/t86663-000
7232,10.1037/t28323-000
7233,10.1037/t27213-000
7234,10.1037/t12157-000
7235,10.1037/t45206-000
7236,10.1037/t42963-000
7237,10.1037/t85295-000
7238,10.1037/t41410-000
7239,10.1037/t73431-000
7240,10.1037/t67517-000
7241,10.1037/t23216-000
7242,10.1037/t32025-000
7243,10.1037/t26771-000
7244,10.1037/t38492-000
7245,10.1037/t39386-000
7246,10.1037/t37184-000
7247,10.1037/t34171-000
7248,10.1037/t86036-000
7249,10.1037/t79567-000
7250,10.1037/t60227-000
7251,10.1037/t79078-000
7252,10.1037/t83302-000
7253,10.1037/t62116-000
7254,10.1037/t31224-000
7255,10.1037/t03411-000
7256,10.1037/t09036-000
7257,10.1037/t64404-000
7258,10.1037/t42240-000
7259,10.1037/t54212-000
7260,10.1037/t31158-000
7261,10.1037/t52303-000
7262,10.1037/t25395-000
7263,10.1037/t28829-000
7264,10.1037/t08145-000
7265,10.1037/t06769-000
7266,10.1037/t05247-000
7267,10.1037/t01832-000
7268,10.1037/t68548-000
7269,10.1037/t25242-000
7270,10.1037/t14401-000
7271,10.1037/t41684-000
7272,10.1037/t87596-000
7273,10.1037/t77176-000
7274,10.1037/t17892-000
7275,10.1037/t85133-000
7276,10.1037/t38750-000
7277,10.1037/t25726-000
7278,10.1037/t50239-000
7279,10.1037/t82402-000
7280,10.1037/t05165-000
7281,10.1037/t37679-000
7282,10.1037/t21370-000
7283,10.1037/t61267-000
7284,10.1037/t09102-000
7285,10.1037/t37708-000
7286,10.1037/t40869-000
7287,10.1037/t17609-000
7288,10.1037/t11016-000
7289,10.1037/t39029-000
7290,10.1037/t19982-000
7291,10.1037/t75906-000
7292,10.1037/t10813-000
7293,10.1037/t87613-000
7294,10.1037/t16771-000
7295,10.1037/t79938-000
7296,10.1037/t01681-000
7297,10.1037/t22556-000
7298,10.1037/t87094-000
7299,10.1037/t07285-000
7300,10.1037/t03536-000
7301,10.1037/t48582-000
7302,10.1037/t30862-000
7303,10.1037/t02384-000
7304,10.1037/t39210-000
7305,10.1037/t12279-000
7306,10.1037/t20059-000
7307,10.1037/t11118-000
7308,10.1037/t75911-000
7309,10.1037/t14441-000
7310,10.1037/t31054-000
7311,10.1037/t13915-000
7312,10.1037/t27847-000
7313,10.1037/t38909-000
7314,10.1037/t03597-000
7315,10.1037/t59781-000
7316,10.1037/t30490-000
7317,10.1037/t70452-000
7318,10.1037/t36719-000
7319,10.1037/t67005-000
7320,10.1037/t34099-000
7321,10.1037/t73475-000
7322,10.1037/t63437-000
7323,10.1037/t23477-000
7324,10.1037/t15412-000
7325,10.1037/t36860-000
7326,10.1037/t86954-000
7327,10.1037/t52585-000
7328,10.1037/t25812-000
7329,10.1037/t02109-000
7330,10.1037/t17057-000
7331,10.1037/t66117-000
7332,10.1037/t42232-000
7333,10.1037/t00598-000
7334,10.1037/t76339-000
7335,10.1037/t39002-000
7336,10.1037/t14863-000
7337,10.1037/t08774-000
7338,10.1037/t04326-000
7339,10.1037/t18496-000
7340,10.1037/t30780-000
7341,10.1037/t32980-000
7342,10.1037/t21092-000
7343,10.1037/t42546-000
7344,10.1037/t23481-000
7345,10.1037/t14949-000
7346,10.1037/t23909-000
7347,10.1037/t07099-000
7348,10.1037/t67745-000
7349,10.1037/t85727-000
7350,10.1037/t28557-000
7351,10.1037/t48951-000
7352,10.1037/t53805-000
7353,10.1037/t26410-000
7354,10.1037/t70035-000
7355,10.1037/t61833-000
7356,10.1037/t70862-000
7357,10.1037/t25873-000
7358,10.1037/t00468-000
7359,10.1037/t03648-000
7360,10.1037/t10963-000
7361,10.1037/t28056-000
7362,10.1037/t43470-000
7363,10.1037/t81175-000
7364,10.1037/t11740-000
7365,10.1037/t21252-000
7366,10.1037/t20043-000
7367,10.1037/t19600-000
7368,10.1037/t69375-000
7369,10.1037/t09791-000
7370,10.1037/t02609-000
7371,10.1037/t19946-000
7372,10.1037/t33664-000
7373,10.1037/t59018-000
7374,10.1037/t25937-000
7375,10.1037/t20140-000
7376,10.1037/t45360-000
7377,10.1037/t72328-000
7378,10.1037/t81110-000
7379,10.1037/t52542-000
7380,10.1037/t17558-000
7381,10.1037/t50816-000
7382,10.1037/t03035-000
7383,10.1037/t24503-000
7384,10.1037/t05547-000
7385,10.1037/t20323-000
7386,10.1037/t12117-000
7387,10.1037/t40604-000
7388,10.1037/t24594-000
7389,10.1037/t29272-000
7390,10.1037/t26595-000
7391,10.1037/t35341-000
7392,10.1037/t17447-000
7393,10.1037/t17182-000
7394,10.1037/t21326-000
7395,10.1037/t58384-000
7396,10.1037/t80011-000
7397,10.1037/t82231-000
7398,10.1037/t03559-000
7399,10.1037/t10176-000
7400,10.1037/t73290-000
7401,10.1037/t05684-000
7402,10.1037/t12062-000
7403,10.1037/t23787-000
7404,10.1037/t35424-000
7405,10.1037/t61659-000
7406,10.1037/t20360-000
7407,10.1037/t36090-000
7408,10.1037/t81119-000
7409,10.1037/t32038-000
7410,10.1037/t29924-000
7411,10.1037/t13641-000
7412,10.1037/t34507-000
7413,10.1037/t17024-000
7414,10.1037/t11326-000
7415,10.1037/t38185-000
7416,10.1037/t18467-000
7417,10.1037/t06802-000
7418,10.1037/t64351-000
7419,10.1037/t72623-000
7420,10.1037/t63835-000
7421,10.1037/t23941-000
7422,10.1037/t56534-000
7423,10.1037/t46392-000
7424,10.1037/t15060-000
7425,10.1037/t01844-000
7426,10.1037/t58631-000
7427,10.1037/t59491-000
7428,10.1037/t02166-000
7429,10.1037/t09079-000
7430,10.1037/t86806-000
7431,10.1037/t28289-000
7432,10.1037/t11919-000
7433,10.1037/t77727-000
7434,10.1037/t63225-000
7435,10.1037/t14363-000
7436,10.1037/t15315-000
7437,10.1037/t43168-000
7438,10.1037/t38322-000
7439,10.1037/t40658-000
7440,10.1037/t19901-000
7441,10.1037/t16109-000
7442,10.1037/t30423-000
7443,10.1037/t63362-000
7444,10.1037/t68467-000
7445,10.1037/t62166-000
7446,10.1037/t16335-000
7447,10.1037/t42237-000
7448,10.1037/t01659-000
7449,10.1037/t42733-000
7450,10.1037/t19994-000
7451,10.1037/t22530-000
7452,10.1037/t64358-000
7453,10.1037/t44480-000
7454,10.1037/t43710-000
7455,10.1037/t05743-000
7456,10.1037/t44840-000
7457,10.1037/t21511-000
7458,10.1037/t70218-000
7459,10.1037/t14843-000
7460,10.1037/t06974-000
7461,10.1037/t66924-000
7462,10.1037/t67626-000
7463,10.1037/t31643-000
7464,10.1037/t83503-000
7465,10.1037/t82107-000
7466,10.1037/t13410-000
7467,10.1037/t35921-000
7468,10.1037/t08600-000
7469,10.1037/t86027-000
7470,10.1037/t33061-000
7471,10.1037/t31350-000
7472,10.1037/t36831-000
7473,10.1037/t26212-000
7474,10.1037/t00851-000
7475,10.1037/t29676-000
7476,10.1037/t16460-000
7477,10.1037/t37810-000
7478,10.1037/t10050-000
7479,10.1037/t09317-000
7480,10.1037/t20679-000
7481,10.1037/t07651-000
7482,10.1037/t27865-000
7483,10.1037/t23490-000
7484,10.1037/t20380-000
7485,10.1037/t39032-000
7486,10.1037/t45332-000
7487,10.1037/t14945-000
7488,10.1037/t14783-000
7489,10.1037/t60107-000
7490,10.1037/t41565-000
7491,10.1037/t29364-000
7492,10.1037/t42898-000
7493,10.1037/t01312-000
7494,10.1037/t16668-000
7495,10.1037/t60865-000
7496,10.1037/t70006-000
7497,10.1037/t31943-000
7498,10.1037/t12638-000
7499,10.1037/t27786-000
7500,10.1037/t70326-000
7501,10.1037/t00371-000
7502,10.1037/t58367-000
7503,10.1037/t07145-000
7504,10.1037/t13113-000
7505,10.1037/t33279-000
7506,10.1037/t73117-000
7507,10.1037/t66592-000
7508,10.1037/t78772-000
7509,10.1037/t73229-000
7510,10.1037/t77589-000
7511,10.1037/t34063-000
7512,10.1037/t84564-000
7513,10.1037/t03513-000
7514,10.1037/t45816-000
7515,10.1037/t14934-000
7516,10.1037/t20593-000
7517,10.1037/t68202-000
7518,10.1037/t00512-000
7519,10.1037/t14576-000
7520,10.1037/t19983-000
7521,10.1037/t33671-000
7522,10.1037/t15777-000
7523,10.1037/t79807-000
7524,10.1037/t23118-000
7525,10.1037/t40486-000
7526,10.1037/t71248-000
7527,10.1037/t21057-000
7528,10.1037/t06076-000
7529,10.1037/t67892-000
7530,10.1037/t48249-000
7531,10.1037/t11333-000
7532,10.1037/t52074-000
7533,10.1037/t29549-000
7534,10.1037/t69886-000
7535,10.1037/t47152-000
7536,10.1037/t79619-000
7537,10.1037/t38241-000
7538,10.1037/t18482-000
7539,10.1037/t26166-000
7540,10.1037/t52998-000
7541,10.1037/t39144-000
7542,10.1037/t31111-000
7543,10.1037/t02667-000
7544,10.1037/t45313-000
7545,10.1037/t40628-000
7546,10.1037/t16423-000
7547,10.1037/t72230-000
7548,10.1037/t37356-000
7549,10.1037/t03058-000
7550,10.1037/t52410-000
7551,10.1037/t50061-000
7552,10.1037/t78197-000
7553,10.1037/t21445-000
7554,10.1037/t12223-000
7555,10.1037/t34992-000
7556,10.1037/t47264-000
7557,10.1037/t29374-000
7558,10.1037/t04517-000
7559,10.1037/t81805-000
7560,10.1037/t46949-000
7561,10.1037/t84289-000
7562,10.1037/t14839-000
7563,10.1037/t76284-000
7564,10.1037/t16929-000
7565,10.1037/t11045-000
7566,10.1037/t27402-000
7567,10.1037/t32041-000
7568,10.1037/t01685-000
7569,10.1037/t45434-000
7570,10.1037/t12505-000
7571,10.1037/t17770-000
7572,10.1037/t09286-000
7573,10.1037/t02235-000
7574,10.1037/t07662-000
7575,10.1037/t14460-000
7576,10.1037/t20438-000
7577,10.1037/t05567-000
7578,10.1037/t16536-000
7579,10.1037/t74557-000
7580,10.1037/t01419-000
7581,10.1037/t61673-000
7582,10.1037/t13661-000
7583,10.1037/t38266-000
7584,10.1037/t79672-000
7585,10.1037/t13281-000
7586,10.1037/t25467-000
7587,10.1037/t55355-000
7588,10.1037/t09554-000
7589,10.1037/t27066-000
7590,10.1037/t45240-000
7591,10.1037/t41491-000
7592,10.1037/t27412-000
7593,10.1037/t24705-000
7594,10.1037/t74481-000
7595,10.1037/t82593-000
7596,10.1037/t14512-000
7597,10.1037/t15273-000
7598,10.1037/t09995-000
7599,10.1037/t03277-000
7600,10.1037/t38769-000
7601,10.1037/t75087-000
7602,10.1037/t48493-000
7603,10.1037/t09722-000
7604,10.1037/t29387-000
7605,10.1037/t41233-000
7606,10.1037/t00962-000
7607,10.1037/t16612-000
7608,10.1037/t23773-000
7609,10.1037/t26289-000
7610,10.1037/t18623-000
7611,10.1037/t41148-000
7612,10.1037/t10986-000
7613,10.1037/t18638-000
7614,10.1037/t46827-000
7615,10.1037/t06210-000
7616,10.1037/t34368-000
7617,10.1037/t24873-000
7618,10.1037/t10331-000
7619,10.1037/t07074-000
7620,10.1037/t20112-000
7621,10.1037/t20331-000
7622,10.1037/t77360-000
7623,10.1037/t28378-000
7624,10.1037/t79295-000
7625,10.1037/t38286-000
7626,10.1037/t67000-000
7627,10.1037/t77878-000
7628,10.1037/t08060-000
7629,10.1037/t77740-000
7630,10.1037/t35190-000
7631,10.1037/t73913-000
7632,10.1037/t09076-000
7633,10.1037/t34416-000
7634,10.1037/t03370-000
7635,10.1037/t55267-000
7636,10.1037/t52743-000
7637,10.1037/t75838-000
7638,10.1037/t34078-000
7639,10.1037/t11651-000
7640,10.1037/t39304-000
7641,10.1037/t25409-000
7642,10.1037/t43465-000
7643,10.1037/t17421-000
7644,10.1037/t45281-000
7645,10.1037/t10413-000
7646,10.1037/t22430-000
7647,10.1037/t36455-000
7648,10.1037/t45535-000
7649,10.1037/t01237-000
7650,10.1037/t77512-000
7651,10.1037/t51955-000
7652,10.1037/t22690-000
7653,10.1037/t14297-000
7654,10.1037/t39453-000
7655,10.1037/t78717-000
7656,10.1037/t00311-000
7657,10.1037/t33387-000
7658,10.1037/t85080-000
7659,10.1037/t46637-000
7660,10.1037/t37252-000
7661,10.1037/t83505-000
7662,10.1037/t34062-000
7663,10.1037/t55343-000
7664,10.1037/t23992-000
7665,10.1037/t80418-000
7666,10.1037/t84966-000
7667,10.1037/t42505-000
7668,10.1037/t43763-000
7669,10.1037/t26861-000
7670,10.1037/t85559-000
7671,10.1037/t08264-000
7672,10.1037/t78386-000
7673,10.1037/t21588-000
7674,10.1037/t38760-000
7675,10.1037/t18361-000
7676,10.1037/t67297-000
7677,10.1037/t10235-000
7678,10.1037/t65965-000
7679,10.1037/t34458-000
7680,10.1037/t34775-000
7681,10.1037/t38198-000
7682,10.1037/t50788-000
7683,10.1037/t79017-000
7684,10.1037/t78881-000
7685,10.1037/t21745-000
7686,10.1037/t09335-000
7687,10.1037/t28374-000
7688,10.1037/t46378-000
7689,10.1037/t25597-000
7690,10.1037/t01777-000
7691,10.1037/t80421-000
7692,10.1037/t18218-000
7693,10.1037/t21804-000
7694,10.1037/t08687-000
7695,10.1037/t87676-000
7696,10.1037/t17669-000
7697,10.1037/t12974-000
7698,10.1037/t26363-000
7699,10.1037/t26801-000
7700,10.1037/t23815-000
7701,10.1037/t41612-000
7702,10.1037/t33197-000
7703,10.1037/t66800-000
7704,10.1037/t09778-000
7705,10.1037/t19516-000
7706,10.1037/t26555-000
7707,10.1037/t05093-000
7708,10.1037/t12988-000
7709,10.1037/t82082-000
7710,10.1037/t12560-000
7711,10.1037/t37082-000
7712,10.1037/t72543-000
7713,10.1037/t13525-000
7714,10.1037/t66406-000
7715,10.1037/t20394-000
7716,10.1037/t13539-000
7717,10.1037/t06721-000
7718,10.1037/t06723-000
7719,10.1037/t37685-000
7720,10.1037/t16061-000
7721,10.1037/t58488-000
7722,10.1037/t48276-000
7723,10.1037/t43779-000
7724,10.1037/t69490-000
7725,10.1037/t62651-000
7726,10.1037/t37544-000
7727,10.1037/t39975-000
7728,10.1037/t19363-000
7729,10.1037/t45212-000
7730,10.1037/t68166-000
7731,10.1037/t10826-000
7732,10.1037/t65040-000
7733,10.1037/t37883-000
7734,10.1037/t52099-000
7735,10.1037/t57264-000
7736,10.1037/t26666-000
7737,10.1037/t13581-000
7738,10.1037/t46359-000
7739,10.1037/t32422-000
7740,10.1037/t60105-000
7741,10.1037/t87778-000
7742,10.1037/t08717-000
7743,10.1037/t72879-000
7744,10.1037/t47197-000
7745,10.1037/t76814-000
7746,10.1037/t58212-000
7747,10.1037/t06895-000
7748,10.1037/t82539-000
7749,10.1037/t25983-000
7750,10.1037/t61186-000
7751,10.1037/t77825-000
7752,10.1037/t62860-000
7753,10.1037/t62467-000
7754,10.1037/t85067-000
7755,10.1037/t26246-000
7756,10.1037/t02765-000
7757,10.1037/t29644-000
7758,10.1037/t85411-000
7759,10.1037/t27130-000
7760,10.1037/t18687-000
7761,10.1037/t49120-000
7762,10.1037/t00479-000
7763,10.1037/t40763-000
7764,10.1037/t54981-000
7765,10.1037/t43412-000
7766,10.1037/t47818-000
7767,10.1037/t74328-000
7768,10.1037/t17328-000
7769,10.1037/t15535-000
7770,10.1037/t34196-000
7771,10.1037/t75461-000
7772,10.1037/t76119-000
7773,10.1037/t86008-000
7774,10.1037/t34960-000
7775,10.1037/t16945-000
7776,10.1037/t38470-000
7777,10.1037/t31536-000
7778,10.1037/t81849-000
7779,10.1037/t16558-000
7780,10.1037/t03952-000
7781,10.1037/t18798-000
7782,10.1037/t26875-000
7783,10.1037/t50101-000
7784,10.1037/t17355-000
7785,10.1037/t70093-000
7786,10.1037/t05747-000
7787,10.1037/t44106-000
7788,10.1037/t10241-000
7789,10.1037/t74775-000
7790,10.1037/t05748-000
7791,10.1037/t37720-000
7792,10.1037/t19126-000
7793,10.1037/t55704-000
7794,10.1037/t14112-000
7795,10.1037/t18639-000
7796,10.1037/t23359-000
7797,10.1037/t28325-000
7798,10.1037/t04569-000
7799,10.1037/t48905-000
7800,10.1037/t45723-000
7801,10.1037/t48015-000
7802,10.1037/t20270-000
7803,10.1037/t17470-000
7804,10.1037/t12628-000
7805,10.1037/t54836-000
7806,10.1037/t26784-000
7807,10.1037/t58068-000
7808,10.1037/t86613-000
7809,10.1037/t85775-000
7810,10.1037/t69295-000
7811,10.1037/t70409-000
7812,10.1037/t80162-000
7813,10.1037/t74291-000
7814,10.1037/t23795-000
7815,10.1037/t18007-000
7816,10.1037/t07271-000
7817,10.1037/t46237-000
7818,10.1037/t48682-000
7819,10.1037/t31660-000
7820,10.1037/t33698-000
7821,10.1037/t03431-000
7822,10.1037/t10058-000
7823,10.1037/t75568-000
7824,10.1037/t10243-000
7825,10.1037/t24950-000
7826,10.1037/t02054-000
7827,10.1037/t76338-000
7828,10.1037/t41817-000
7829,10.1037/t28270-000
7830,10.1037/t08619-000
7831,10.1037/t81081-000
7832,10.1037/t40736-000
7833,10.1037/t10444-000
7834,10.1037/t71824-000
7835,10.1037/t09152-000
7836,10.1037/t13292-000
7837,10.1037/t38282-000
7838,10.1037/t82707-000
7839,10.1037/t49302-000
7840,10.1037/t32464-000
7841,10.1037/t15842-000
7842,10.1037/t59023-000
7843,10.1037/t21037-000
7844,10.1037/t26749-000
7845,10.1037/t60625-000
7846,10.1037/t28236-000
7847,10.1037/t22451-000
7848,10.1037/t44758-000
7849,10.1037/t22527-000
7850,10.1037/t71219-000
7851,10.1037/t81747-000
7852,10.1037/t53455-000
7853,10.1037/t40964-000
7854,10.1037/t77409-000
7855,10.1037/t83231-000
7856,10.1037/t16531-000
7857,10.1037/t83113-000
7858,10.1037/t19733-000
7859,10.1037/t85502-000
7860,10.1037/t29878-000
7861,10.1037/t23282-000
7862,10.1037/t71471-000
7863,10.1037/t86661-000
7864,10.1037/t40366-000
7865,10.1037/t01539-000
7866,10.1037/t65946-000
7867,10.1037/t48381-000
7868,10.1037/t30389-000
7869,10.1037/t39844-000
7870,10.1037/t54528-000
7871,10.1037/t40972-000
7872,10.1037/t84523-000
7873,10.1037/t17392-000
7874,10.1037/t34524-000
7875,10.1037/t09115-000
7876,10.1037/t28890-000
7877,10.1037/t19288-000
7878,10.1037/t33088-000
7879,10.1037/t18550-000
7880,10.1037/t86235-000
7881,10.1037/t45892-000
7882,10.1037/t57683-000
7883,10.1037/t09458-000
7884,10.1037/t22863-000
7885,10.1037/t16953-000
7886,10.1037/t37652-000
7887,10.1037/t34673-000
7888,10.1037/t17423-000
7889,10.1037/t80459-000
7890,10.1037/t08734-000
7891,10.1037/t66624-000
7892,10.1037/t29616-000
7893,10.1037/t22962-000
7894,10.1037/t09243-000
7895,10.1037/t15793-000
7896,10.1037/t44102-000
7897,10.1037/t14761-000
7898,10.1037/t47638-000
7899,10.1037/t13025-000
7900,10.1037/t34110-000
7901,10.1037/t01135-000
7902,10.1037/t81648-000
7903,10.1037/t76810-000
7904,10.1037/t16685-000
7905,10.1037/t27668-000
7906,10.1037/t34188-000
7907,10.1037/t45719-000
7908,10.1037/t02403-000
7909,10.1037/t00713-000
7910,10.1037/t41302-000
7911,10.1037/t30573-000
7912,10.1037/t09322-000
7913,10.1037/t78171-000
7914,10.1037/t48200-000
7915,10.1037/t11101-000
7916,10.1037/t17424-000
7917,10.1037/t02557-000
7918,10.1037/t67538-000
7919,10.1037/t19109-000
7920,10.1037/t36095-000
7921,10.1037/t24742-000
7922,10.1037/t81289-000
7923,10.1037/t25572-000
7924,10.1037/t85677-000
7925,10.1037/t41657-000
7926,10.1037/t64881-000
7927,10.1037/t25730-000
7928,10.1037/t14185-000
7929,10.1037/t65551-000
7930,10.1037/t09563-000
7931,10.1037/t28894-000
7932,10.1037/t11143-000
7933,10.1037/t13735-000
7934,10.1037/t33394-000
7935,10.1037/t67905-000
7936,10.1037/t45189-000
7937,10.1037/t32169-000
7938,10.1037/t12841-000
7939,10.1037/t54239-000
7940,10.1037/t47594-000
7941,10.1037/t21333-000
7942,10.1037/t00212-000
7943,10.1037/t16126-000
7944,10.1037/t45653-000
7945,10.1037/t81361-000
7946,10.1037/t21364-000
7947,10.1037/t44788-000
7948,10.1037/t09097-000
7949,10.1037/t63255-000
7950,10.1037/t36430-000
7951,10.1037/t21050-000
7952,10.1037/t21641-000
7953,10.1037/t63253-000
7954,10.1037/t36389-000
7955,10.1037/t03387-000
7956,10.1037/t34246-000
7957,10.1037/t74911-000
7958,10.1037/t73347-000
7959,10.1037/t40920-000
7960,10.1037/t40312-000
7961,10.1037/t62729-000
7962,10.1037/t53905-000
7963,10.1037/t13180-000
7964,10.1037/t81302-000
7965,10.1037/t73620-000
7966,10.1037/t21719-000
7967,10.1037/t70490-000
7968,10.1037/t65217-000
7969,10.1037/t06434-000
7970,10.1037/t28820-000
7971,10.1037/t78567-000
7972,10.1037/t08162-000
7973,10.1037/t32613-000
7974,10.1037/t59560-000
7975,10.1037/t24466-000
7976,10.1037/t87334-000
7977,10.1037/t66954-000
7978,10.1037/t76226-000
7979,10.1037/t03109-000
7980,10.1037/t63059-000
7981,10.1037/t59214-000
7982,10.1037/t61157-000
7983,10.1037/t78292-000
7984,10.1037/t42078-000
7985,10.1037/t21757-000
7986,10.1037/t37295-000
7987,10.1037/t37340-000
7988,10.1037/t65004-000
7989,10.1037/t87058-000
7990,10.1037/t40265-000
7991,10.1037/t22333-000
7992,10.1037/t24341-000
7993,10.1037/t79974-000
7994,10.1037/t36113-000
7995,10.1037/t71428-000
7996,10.1037/t87608-000
7997,10.1037/t62828-000
7998,10.1037/t23896-000
7999,10.1037/t20003-000
8000,10.1037/t24706-000
8001,10.1037/t86614-000
8002,10.1037/t81498-000
8003,10.1037/t39361-000
8004,10.1037/t79469-000
8005,10.1037/t17635-000
8006,10.1037/t76766-000
8007,10.1037/t84981-000
8008,10.1037/t32424-000
8009,10.1037/t17733-000
8010,10.1037/t75648-000
8011,10.1037/t38882-000
8012,10.1037/t47704-000
8013,10.1037/t17153-000
8014,10.1037/t68083-000
8015,10.1037/t20336-000
8016,10.1037/t20493-000
8017,10.1037/t01040-000
8018,10.1037/t12459-000
8019,10.1037/t19820-000
8020,10.1037/t23173-000
8021,10.1037/t67004-000
8022,10.1037/t76517-000
8023,10.1037/t54122-000
8024,10.1037/t33740-000
8025,10.1037/t37793-000
8026,10.1037/t02785-000
8027,10.1037/t00337-000
8028,10.1037/t27566-000
8029,10.1037/t13779-000
8030,10.1037/t35451-000
8031,10.1037/t68301-000
8032,10.1037/t38527-000
8033,10.1037/t01819-000
8034,10.1037/t62968-000
8035,10.1037/t86207-000
8036,10.1037/t77856-000
8037,10.1037/t02875-000
8038,10.1037/t17388-000
8039,10.1037/t78315-000
8040,10.1037/t22362-000
8041,10.1037/t20157-000
8042,10.1037/t06270-000
8043,10.1037/t11899-000
8044,10.1037/t48168-000
8045,10.1037/t00023-000
8046,10.1037/t12253-000
8047,10.1037/t74416-000
8048,10.1037/t22034-000
8049,10.1037/t57862-000
8050,10.1037/t10276-000
8051,10.1037/t14090-000
8052,10.1037/t83834-000
8053,10.1037/t63655-000
8054,10.1037/t63331-000
8055,10.1037/t82994-000
8056,10.1037/t65833-000
8057,10.1037/t85661-000
8058,10.1037/t30493-000
8059,10.1037/t10624-000
8060,10.1037/t84801-000
8061,10.1037/t22146-000
8062,10.1037/t86708-000
8063,10.1037/t24764-000
8064,10.1037/t63480-000
8065,10.1037/t24522-000
8066,10.1037/t63455-000
8067,10.1037/t29109-000
8068,10.1037/t05680-000
8069,10.1037/t35294-000
8070,10.1037/t46951-000
8071,10.1037/t39142-000
8072,10.1037/t24494-000
8073,10.1037/t29882-000
8074,10.1037/t39779-000
8075,10.1037/t17159-000
8076,10.1037/t28719-000
8077,10.1037/t66030-000
8078,10.1037/t62206-000
8079,10.1037/t17480-000
8080,10.1037/t32540-000
8081,10.1037/t10350-000
8082,10.1037/t51454-000
8083,10.1037/t32549-000
8084,10.1037/t26493-000
8085,10.1037/t41638-000
8086,10.1037/t27851-000
8087,10.1037/t34809-000
8088,10.1037/t66076-000
8089,10.1037/t69044-000
8090,10.1037/t30344-000
8091,10.1037/t79056-000
8092,10.1037/t61203-000
8093,10.1037/t82934-000
8094,10.1037/t31162-000
8095,10.1037/t63424-000
8096,10.1037/t63751-000
8097,10.1037/t23229-000
8098,10.1037/t65478-000
8099,10.1037/t16822-000
8100,10.1037/t04110-000
8101,10.1037/t11270-000
8102,10.1037/t53427-000
8103,10.1037/t78874-000
8104,10.1037/t24444-000
8105,10.1037/t07066-000
8106,10.1037/t16079-000
8107,10.1037/t68043-000
8108,10.1037/t12259-000
8109,10.1037/t40066-000
8110,10.1037/t37253-000
8111,10.1037/t12150-000
8112,10.1037/t18294-000
8113,10.1037/t09262-000
8114,10.1037/t26523-000
8115,10.1037/t23710-000
8116,10.1037/t25739-000
8117,10.1037/t29128-000
8118,10.1037/t11610-000
8119,10.1037/t28114-000
8120,10.1037/t11049-000
8121,10.1037/t47391-000
8122,10.1037/t71220-000
8123,10.1037/t39937-000
8124,10.1037/t29835-000
8125,10.1037/t45821-000
8126,10.1037/t86690-000
8127,10.1037/t15249-000
8128,10.1037/t31751-000
8129,10.1037/t30468-000
8130,10.1037/t43030-000
8131,10.1037/t14751-000
8132,10.1037/t21465-000
8133,10.1037/t14788-000
8134,10.1037/t26061-000
8135,10.1037/t09770-000
8136,10.1037/t63792-000
8137,10.1037/t81363-000
8138,10.1037/t13670-000
8139,10.1037/t52214-000
8140,10.1037/t83655-000
8141,10.1037/t32682-000
8142,10.1037/t50483-000
8143,10.1037/t05771-000
8144,10.1037/t40692-000
8145,10.1037/t10112-000
8146,10.1037/t77017-000
8147,10.1037/t85338-000
8148,10.1037/t35127-000
8149,10.1037/t63626-000
8150,10.1037/t52097-000
8151,10.1037/t12924-000
8152,10.1037/t65445-000
8153,10.1037/t85642-000
8154,10.1037/t43603-000
8155,10.1037/t49821-000
8156,10.1037/t48597-000
8157,10.1037/t00426-000
8158,10.1037/t33399-000
8159,10.1037/t45477-000
8160,10.1037/t09131-000
8161,10.1037/t21593-000
8162,10.1037/t30101-000
8163,10.1037/t20966-000
8164,10.1037/t23512-000
8165,10.1037/t28043-000
8166,10.1037/t05872-000
8167,10.1037/t12688-000
8168,10.1037/t15724-000
8169,10.1037/t23465-000
8170,10.1037/t34366-000
8171,10.1037/t22972-000
8172,10.1037/t17588-000
8173,10.1037/t21038-000
8174,10.1037/t19925-000
